[21:48:24] [main/INFO]: [STDOUT]: carve_visit=unknown (no ProtoChunk carve); density0 = getCarveState path
target=(0,0)
  START source=(-6,5) idx=0 f=0.0806 caveCount=0
  START source=(0,5) idx=1 f=0.0331 caveCount=9
  START source=(8,5) idx=1 f=0.0643 caveCount=0
  START source=(8,5) idx=2 canyon f=0.0045
  START source=(-4,6) idx=0 f=0.0549 caveCount=3
  START source=(2,6) idx=0 f=0.0728 caveCount=0
  START source=(2,6) idx=1 f=0.0018 caveCount=1
  START source=(7,6) idx=2 canyon f=0.0068
  START source=(8,6) idx=1 f=0.0312 caveCount=0
  START source=(-8,7) idx=0 f=0.1327 caveCount=1
  START source=(-1,7) idx=1 f=0.0046 caveCount=0
  START source=(2,7) idx=0 f=0.1233 caveCount=0
  START source=(2,7) idx=2 canyon f=0.0056
  START source=(1,8) idx=0 f=0.1230 caveCount=1
  START source=(3,8) idx=0 f=0.0004 caveCount=0
  START source=(3,8) idx=1 f=0.0372 caveCount=0
  START source=(4,8) idx=2 canyon f=0.0007
  START source=(6,8) idx=0 f=0.1393 caveCount=1
  START source=(8,8) idx=0 f=0.1131 caveCount=0
  START source=(-4,9) idx=0 f=0.0228 caveCount=0
  START source=(6,9) idx=0 f=0.0477 caveCount=1
  total_starts=63
12 1 15 carve_visit=unknown density0_block=minecraft:air
10 2 15 carve_visit=unknown density0_block=minecraft:air
8 3 14 carve_visit=unknown density0_block=minecraft:air
2 5 14 carve_visit=unknown density0_block=minecraft:air
5 5 14 carve_visit=unknown density0_block=minecraft:air
1 5 15 carve_visit=unknown density0_block=minecraft:air
8 3 15 carve_visit=unknown density0_block=minecraft:air
2 5 15 carve_visit=unknown density0_block=minecraft:air
5 5 15 carve_visit=unknown density0_block=minecraft:air
1 6 21 carve_visit=unknown density0_block=minecraft:air
3 6 23 carve_visit=unknown density0_block=minecraft:air
